#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"ApMsgFwd";"1";"112";"97484800";"2129920";"1773568";"9912";;;"3,046875";;;;;"Process";"8";;;;;;"112";"5624";".";"0";"";;;;;"9912";"9912";"1773568";"1773568";"186512";"186512";"1855488";"1855488";"8073216";"8073216";"100630528";"100630528";;;"1773568";"1773568";"00:00:02.1250000";"ApMsgFwd";;"True";"1";"System.Diagnostics.ProcessStartInfo";"08/01/2018 09:08:52";;"System.Diagnostics.ProcessThreadCollection";"00:00:03.0468750";"00:00:00.9218750";"97484800";"97484800";"False";;;;"2129920";"2129920";;
"ApntEx";"1";"116";"93904896";"2547712";"1679360";"9296";"C:\Program Files\DellTPad\Apntex.exe";"Alps Electric Co., Ltd.";"7,453125";"8, 1, 0, 34";"8, 1, 0, 34";"Alps Pointing-device Driver for Windows";"Alps Pointing-device Driver for Windows";"Process";"8";;"False";;"2164";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"116";"4896";".";"0";"";"System.Diagnostics.ProcessModule (Apntex.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"9296";"9296";"1679360";"1679360";"179808";"179808";"3006464";"3006464";"7344128";"7344128";"98177024";"98177024";"True";"Normal";"1679360";"1679360";"00:00:05.4531250";"ApntEx";"15";"True";"1";"System.Diagnostics.ProcessStartInfo";"08/01/2018 09:08:56";;"System.Diagnostics.ProcessThreadCollection";"00:00:07.4531250";"00:00:02";"93904896";"93904896";"False";;;;"2547712";"2547712";;
"Apoint";"1";"304";"143450112";"6434816";"4194304";"19696";"C:\Program Files\DellTPad\Apoint.exe";"Alps Electric Co., Ltd.";"3,296875";"10, 1, 101, 207";"10, 1, 101, 207";"Alps Pointing-device Driver";"Alps Pointing-device Driver";"Process";"8";;"False";;"2276";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"304";"5876";".";"0";"";"System.Diagnostics.ProcessModule (Apoint.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"19696";"19696";"4194304";"4194304";"284824";"284824";"4677632";"4677632";"24436736";"24436736";"166199296";"166199296";"True";"Normal";"4194304";"4194304";"00:00:02.5156250";"Apoint";"15";"True";"1";"System.Diagnostics.ProcessStartInfo";"08/01/2018 09:08:28";;"System.Diagnostics.ProcessThreadCollection";"00:00:03.2968750";"00:00:00.7812500";"143450112";"143450112";"False";;;;"6434816";"6434816";;
"AppleMobileDeviceService";"0";"195";"126574592";"3993600";"3497984";"19872";;;;;;;;"Process";"8";;;;;;"195";"2128";".";"0";"";;;;;"19872";"19872";"3497984";"3497984";"233232";"233232";"3559424";"3559424";"13127680";"13127680";"129720320";"129720320";;;"3497984";"3497984";;"AppleMobileDeviceService";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"126574592";"126574592";"False";;;;"3993600";"3993600";;
"ApplicationFrameHost";"1";"207";"2199170625536";"13156352";"6352896";"13720";"C:\WINDOWS\system32\ApplicationFrameHost.exe";"Microsoft Corporation";"0,1875";"10.0.14393.0 (rs1_release.160715-1616)";"10.0.14393.0";"Application Frame Host";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"2236";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"207";"8636";".";"0";"";"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"13720";"13720";"6352896";"6352896";"272288";"272288";"8830976";"8830976";"23486464";"23486464";"160641024";"2199183896576";"True";"Normal";"6352896";"6352896";"00:00:00.0937500";"ApplicationFrameHost";"15";"True";"1";"System.Diagnostics.ProcessStartInfo";"08/01/2018 09:31:20";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1875000";"00:00:00.0937500";"147369984";"2199170625536";"False";;;;"13156352";"13156352";;
"cmd";"1";"45";"2199043735552";"3342336";"3805184";"5320";;;"0";;;;;"Process";"8";;"True";;;;"45";"3404";".";"0";"";;;;;"5320";"5320";"3805184";"3805184";"44816";"44816";"3805184";"3805184";"3342336";"3342336";"20480000";"2199043735552";;;"3805184";"3805184";"00:00:00";"cmd";;"True";"1";"System.Diagnostics.ProcessStartInfo";"08/01/2018 11:40:24";;"System.Diagnostics.ProcessThreadCollection";"00:00:00";"00:00:00";"20480000";"2199043735552";"False";;;;"3342336";"3342336";;
"cmd";"1";"44";"2199043588096";"3284992";"3883008";"5024";"C:\WINDOWS\SYSTEM32\cmd.exe";"Microsoft Corporation";"0";"10.0.14393.0 (rs1_release.160715-1616)";"10.0.14393.0";"Interpr?teur de commandes Windows";"Syst?me d?exploitation Microsoft? Windows?";"Process";"8";;"False";;"2360";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"44";"9904";".";"0";"";"System.Diagnostics.ProcessModule (cmd.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"5024";"5024";"3883008";"3883008";"44432";"44432";"3883008";"3883008";"3284992";"3284992";"20332544";"2199043588096";"True";"Normal";"3883008";"3883008";"00:00:00";"cmd";"15";"True";"1";"System.Diagnostics.ProcessStartInfo";"08/01/2018 11:40:24";;"System.Diagnostics.ProcessThreadCollection";"00:00:00";"00:00:00";"20332544";"2199043588096";"False";;;;"3284992";"3284992";;
"conhost";"1";"104";"2199116378112";"4386816";"5296128";"9360";"C:\WINDOWS\system32\conhost.exe";"Microsoft Corporation";"0,015625";"10.0.14393.0 (rs1_release.160715-1616)";"10.0.14393.0";"Console Window Host";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"2392";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"104";"8";".";"0";"";"System.Diagnostics.ProcessModule (conhost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"9360";"9360";"5296128";"5296128";"176104";"176104";"5459968";"5459968";"10997760";"10997760";"93908992";"2199117164544";"True";"Normal";"5296128";"5296128";"00:00:00";"conhost";"15";"True";"1";"System.Diagnostics.ProcessStartInfo";"08/01/2018 09:08:56";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0156250";"00:00:00.0156250";"93122560";"2199116378112";"False";;;;"4386816";"4386816";;
"conhost";"1";"86";"2199111258112";"9764864";"5091328";"7728";;;;;;;;"Process";"8";;"True";;;;"86";"6076";".";"0";"";;;;;"7728";"7728";"5091328";"5091328";"165568";"165568";"5091328";"5091328";"9764864";"9764864";"88002560";"2199111258112";;;"5091328";"5091328";;"conhost";;"True";"1";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"88002560";"2199111258112";"False";;;;"9764864";"9764864";;
"conhost";"1";"86";"2199111544832";"9777152";"5152768";"7864";"C:\WINDOWS\system32\conhost.exe";"Microsoft Corporation";"0,015625";"10.0.14393.0 (rs1_release.160715-1616)";"10.0.14393.0";"Console Window Host";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"2288";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"86";"6196";".";"0";"";"System.Diagnostics.ProcessModule (conhost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"7864";"7864";"5152768";"5152768";"165568";"165568";"5152768";"5152768";"9777152";"9777152";"88289280";"2199111544832";"True";"Normal";"5152768";"5152768";"00:00:00.0156250";"conhost";"15";"True";"1";"System.Diagnostics.ProcessStartInfo";"08/01/2018 11:40:24";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0156250";"00:00:00";"88289280";"2199111544832";"False";;;;"9777152";"9777152";;
